0001.AFS,9f391062
0005.AFS,bf4a2911
0006.AFS,1be197db
0007.AFS,f8dbeb6c
0008.AFS,20d09b0d
0009.AFS,1f787577
0011.AFS,6caeca42
0012.AFS,9f5d225d
0013.AFS,ac2dc7f9
0014.AFS,b7daf129
0015.AFS,52c04c3e
0016.AFS,7299ae66
0017.AFS,98316e2f
0018.AFS,73b23b74
0020.AFS,e0ed9067
0021.AFS,7c0c6e95
0022.AFS,c3d07d6e
0023.AFS,238ba2f1
0024.AFS,11ee050c
0025.AFS,651166bb
0026.AFS,843bd4f3
0027.AFS,787d74ca
0028.AFS,6858e232
0029.AFS,060475e1
0030.AFS,c2724616
0031.AFS,6da8e437
0032.AFS,43dcdae7
0033.AFS,3bd87070
0074.AFS,399e6839
0075.AFS,46a1d798
0076.AFS,65a92bbd
0078.AFS,f04f45dc
0081.AFS,14d580b3
0099.AFS,56f4ed64
0102.AFS,31d6356d
0103.AFS,eb6c97a8
0104AA1.AFS,c91524c3
0104AD2.AFS,fbd54e11
0104AHE.AFS,4a7a91c6
0104ANS.AFS,2c4ef7af
0104CHW.AFS,ed2abc54
0104CKN.AFS,24647ca0
0104CN6.AFS,1138a340
0104DHO.AFS,fef9b330
0104DY1.AFS,149570f1
0104EIN.AFS,1cb38cef
0104EMI.AFS,10eb95a5
0104GKS.AFS,ca1e61e5
0104HAK.AFS,a590060a
0104JOE.AFS,ec7e1e16
0104KNH.AFS,f8eb3027
0104KNT.AFS,d265cae9
0104KOO.AFS,7d25f10c
0104KOW.AFS,b5bcb3f4
0104KT4.AFS,549a1c4a
0104LYO.AFS,ddfd6210
0104OD1.AFS,fc772b6f
0104RKU.AFS,dfe43a34
0104SCN.AFS,2d2789a9
0104SNN.AFS,96a10ad7
0104SNS.AFS,0a84f660
0104SOG.AFS,3688cc7c
0104SSA.AFS,86c8bb44
0104SYO.AFS,26a59f0d
0104SYY.AFS,b68e929c
0104TJN.AFS,8a1d172a
0104YM1.AFS,b806a457
0104YM2.AFS,870d73a3
0107.AFS,91e30b56
0108.AFS,5c146343
0109.AFS,2507721d
0110.AFS,d5d402ed
0112.AFS,bf39ca63
0113.AFS,0e149732
0115.AFS,a20be277
0116.AFS,d2391077
0120.AFS,478d0c0d
0121.AFS,f94d0c2a
0137.AFS,728fbe46
0139.AFS,6cf9b164
0140.AFS,d2c8c7e1
0147.AFS,c6334d7b
0149.AFS,a2307364
0150.AFS,cd8bf0c9
0151.AFS,0bcac451
0173.AFS,8ebf0e06
0181.AFS,92f29470
0184.AFS,6b68b849
0185.AFS,768b1d01
0192.AFS,4036cd63
0198.AFS,37396d7c
0400.AFS,50d5b068
0401.AFS,f9518428
0549.AFS,c597689c
1001.AFS,1fd420f1
1005.AFS,48176342
1006.AFS,497168d0
1021.AFS,91a7c8f3
1034.AFS,978e7250
1035.AFS,655988c1
1036.AFS,479884b6
1037.AFS,2b49fb28
1038.AFS,7d4e88cc
BGM01.AFS,0e0558c5
FREE01.AFS,8f92e7ee
SY07.AFS,859658eb
SY08.AFS,140f1bf2
